Predicted values against Expected values.....

Test Day=362, Predicted=18.052116, Expected=18.053213
Test Day=363, Predicted=18.067953, Expected=17.981392
Test Day=364, Predicted=17.993557, Expected=18.190327
Test Day=365, Predicted=18.203827, Expected=18.281734
Test Day=366, Predicted=18.297268, Expected=18.591871
Test Day=367, Predicted=18.609968, Expected=18.102182
Test Day=368, Predicted=18.112774, Expected=18.131563
Test Day=369, Predicted=18.137812, Expected=18.311115
Test Day=370, Predicted=18.321905, Expected=18.281734
Test Day=371, Predicted=18.293613, Expected=18.395996
Test Day=372, Predicted=18.408413, Expected=18.503727
Test Day=373, Predicted=18.517866, Expected=18.480875
Test Day=374, Predicted=18.494204, Expected=18.435171
Test Day=375, Predicted=18.446480, Expected=18.699602
Test Day=376, Predicted=18.713493, Expected=18.425377
Test Day=377, Predicted=18.436480, Expected=17.857338
Test Day=378, Predicted=17.856453, Expected=17.338266
Test Day=379, Predicted=17.328501, Expected=16.665760
Test Day=380, Predicted=16.648144, Expected=16.975897
Test Day=381, Predicted=16.967575, Expected=16.443768
Test Day=382, Predicted=16.437040, Expected=16.322977
Test Day=383, Predicted=16.315916, Expected=15.647206
Test Day=384, Predicted=15.634542, Expected=14.720061
Test Day=385, Predicted=14.693461, Expected=14.981229
Test Day=386, Predicted=14.964829, Expected=14.553567
Test Day=387, Predicted=14.543121, Expected=15.294630
Test Day=388, Predicted=15.296442, Expected=15.526416
Test Day=389, Predicted=15.541306, Expected=15.490505
Test Day=390, Predicted=15.504596, Expected=16.136896
Test Day=391, Predicted=16.156082, Expected=15.719028
Test Day=392, Predicted=15.734686, Expected=16.303391
Test Day=393, Predicted=16.319284, Expected=16.300125
Test Day=394, Predicted=16.319607, Expected=16.355623
Test Day=395, Predicted=16.371864, Expected=15.787583
Test Day=396, Predicted=15.793183, Expected=15.627619
Test Day=397, Predicted=15.627567, Expected=15.999783
Test Day=398, Predicted=16.007307, Expected=16.590673
Test Day=399, Predicted=16.609505, Expected=16.682083
Test Day=400, Predicted=16.704195, Expected=16.587410
Test Day=401, Predicted=16.604164, Expected=16.407856
